,date,close,diff,open,high,low,volume,diff+-,up/down
1,2020-06-02,9000,520,8470,9050,8460,5531440,520.0,1
2,2020-06-01,8480,200,8300,8500,8300,2861703,200.0,1
3,2020-05-29,8280,40,8110,8400,8030,4819669,40.0,1
4,2020-05-28,8240,280,8170,8380,8060,7549725,280.0,1
5,2020-05-27,7960,190,7860,7990,7810,4295846,190.0,1
9,2020-05-26,7770,150,7640,7810,7580,2471172,150.0,1
10,2020-05-25,7620,60,7600,7620,7520,955351,60.0,1
11,2020-05-22,7560,180,7750,7750,7550,1810736,-180.0,0
12,2020-05-21,7740,60,7740,7770,7680,1907202,60.0,1
13,2020-05-20,7680,50,7640,7720,7620,1459404,-50.0,0
16,2020-05-19,7730,270,7670,7800,7670,2869594,270.0,1
17,2020-05-18,7460,90,7570,7600,7420,1546786,-90.0,0
18,2020-05-15,7550,180,7480,7630,7390,2522150,180.0,1
19,2020-05-14,7370,80,7360,7410,7320,1867079,-80.0,0
20,2020-05-13,7450,10,7360,7450,7310,1711980,10.0,1
24,2020-05-12,7440,160,7600,7600,7400,2375026,-160.0,0
25,2020-05-11,7600,140,7740,7770,7600,1831910,-140.0,0
26,2020-05-08,7740,20,7770,7820,7710,1891292,20.0,1
27,2020-05-07,7720,50,7650,7760,7590,1809219,50.0,1
28,2020-05-06,7670,10,7770,7790,7620,2286710,10.0,1
31,2020-05-04,7660,240,7740,7800,7620,3212983,-240.0,0
32,2020-04-29,7900,180,7790,8020,7750,4387448,180.0,1
33,2020-04-28,7720,100,7780,8090,7640,5874015,100.0,1
34,2020-04-27,7620,420,7230,7710,7230,4822565,420.0,1
35,2020-04-24,7200,120,7300,7300,7190,2462628,-120.0,0
39,2020-04-23,7320,20,7370,7410,7300,2632930,-20.0,0
40,2020-04-22,7340,140,7270,7360,7210,3578458,-140.0,0
41,2020-04-21,7480,220,7560,7620,7400,3416231,-220.0,0
42,2020-04-20,7700,180,7800,7830,7650,3925258,-180.0,0
43,2020-04-17,7880,160,7790,7930,7780,2806396,160.0,1
46,2020-04-16,7720,180,7780,7820,7630,2611738,-180.0,0
47,2020-04-14,7900,150,7830,7900,7750,1866762,150.0,1
48,2020-04-13,7750,70,7770,8040,7710,3243711,-70.0,0
49,2020-04-10,7820,310,7590,7840,7520,3715056,310.0,1
50,2020-04-09,7510,60,7570,7600,7450,2155700,60.0,1
54,2020-04-08,7450,110,7510,7590,7430,2103995,-110.0,0
55,2020-04-07,7560,120,7650,7800,7450,2976291,120.0,1
56,2020-04-06,7440,210,7230,7450,7210,2517463,210.0,1
57,2020-04-03,7230,0,7230,7300,7100,1880217,0.0,none
58,2020-04-02,7230,70,7160,7300,7000,2046811,70.0,1
61,2020-04-01,7160,340,7400,7550,7160,2277600,-340.0,0
62,2020-03-31,7500,230,7400,7560,7280,2696258,230.0,1
63,2020-03-30,7270,100,7130,7410,6980,2169902,-100.0,0
64,2020-03-27,7370,100,7600,7670,7220,2917213,100.0,1
65,2020-03-26,7270,100,7400,7510,7160,3906989,-100.0,0
69,2020-03-25,7370,690,7070,7470,7030,3811848,690.0,1
70,2020-03-24,6680,550,6330,6760,6160,2411046,550.0,1
71,2020-03-23,6130,490,6150,6410,6010,2587895,-490.0,0
72,2020-03-20,6620,750,6030,6620,5900,3698474,750.0,1
73,2020-03-19,5870,640,6510,6600,5860,4156109,-640.0,0
76,2020-03-18,6510,200,6710,6790,6510,2618531,-200.0,0
77,2020-03-17,6710,390,6600,6870,6500,3685283,-390.0,0
78,2020-03-16,7100,350,7480,7640,7100,3104062,-350.0,0
79,2020-03-13,7450,460,7150,7650,7020,4868340,-460.0,0
80,2020-03-12,7910,510,8320,8350,7800,4060421,-510.0,0
84,2020-03-11,8420,10,8390,8620,8360,2129277,10.0,1
85,2020-03-10,8410,110,8300,8480,8290,1878506,-110.0,0
86,2020-03-09,8520,500,8860,8870,8500,2732695,-500.0,0
87,2020-03-06,9020,370,9320,9360,8950,3798856,-370.0,0
88,2020-03-05,9390,60,9490,9500,9350,2157354,-60.0,0
91,2020-03-04,9450,60,9380,9540,9330,1879329,60.0,1
92,2020-03-03,9390,40,9510,9580,9390,1549972,-40.0,0
93,2020-03-02,9430,80,9490,9580,9410,1313790,-80.0,0
94,2020-02-28,9510,270,9700,9720,9450,2529664,-270.0,0
95,2020-02-27,9780,120,9600,9820,9600,1403170,120.0,1
99,2020-02-26,9660,30,9550,9750,9500,1497075,-30.0,0
100,2020-02-25,9690,210,9320,9840,9320,1703737,210.0,1
101,2020-02-24,9480,420,9680,9720,9480,2460837,-420.0,0
102,2020-02-21,9900,100,9980,9990,9900,1850503,-100.0,0
103,2020-02-20,10000,100,10100,10150,10000,1213375,-100.0,0
106,2020-02-19,10100,50,10050,10150,10000,1542470,50.0,1
107,2020-02-18,10050,100,10150,10150,10000,1500995,-100.0,0
108,2020-02-17,10150,50,10150,10250,10100,1576712,-50.0,0
109,2020-02-14,10200,200,10400,10450,10150,3166171,-200.0,0
110,2020-02-13,10400,100,10500,10550,10400,1681662,-100.0,0
