,날짜,언론사,기사제목,기사내용,링크
0, 2020.06.01 08:41,매일경제,"기업은행, 국내 첫 음성본인확인(Voice ID) 도입","IBK기업은행은 지문, 홍채 등의 생체인증에서 한단계 발전된 음성본인확인(Voice ID) 서비스를 오는 5일부터 국내 최초로 도입한다고 밝혔다. 음성본인확인은 개인이 갖고 있는 100가지 이상의 목소리 특징을 모은 정보로 고객을 식별해 이를 상담과 금융거래에 활용하는 기술이다. 일란성 쌍둥이, 형제자매의 음성도 구분 가능하다. 기업은행은 이 서비스를 고객센터에 도입한다.고객이 상담원과 통화하며 음성정보를 제공하면 은행은 수집된 정보를 통해 다음 통화부터 15초 이내에 본인 확인을 완료한다.철저한 검증과정을 통해 안면인식이나 지문을 활용한 인증방식보다 보안성을 강화했고 본인확인을 위한 비밀번호 입력 등의 절차가 생략돼 통화당 평균 11초 이상을 단축시켰다고 은행측은 전했다.[류영상 기자 ifyouare@mkinternet.com]▶네이버 메인에서 '매일경제'를 받아보세요▶매부리TV 구독하고 에어팟프로 득템!! ▶뉴스레터 '매콤달콤' 구독[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]매일경제 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.中 사스 영웅 ""중국이 코로나 백신 개발 선두 이미…""경찰차 습격, 백화점 약탈…25개 도시 야간통행금지령 내려김준희 여전한 비키니 대명사…역대급 볼륨감 과시더 멀리 더 정확하게…'샤프트'의 과학유상철 ""췌장암 많이 호전돼, 의지 갖고 치료 중""",https://finance.naver.com/item/news_read.nhn?article_id=0004585935&office_id=009&code=024110&page=1&sm=
1, 2020.06.01 04:03,매일경제,"IBK기업은행, 앱 하나면 대출·상권분석·회계 해결","◆ 디지털금융 ◆ IBK기업은행은 지난해 창립 58주년을 맞아 중소기업 경영지원 디지털 플랫폼 `BOX`를 출시했다.  [사진 제공 = IBK기업은행] IBK기업은행은 빅데이터·인공지능(AI)·오픈뱅킹 등을 활용한 디지털 금융을 통해 중소기업과 소상공인에게 다각도로 '생활 금융' 서비스를 제공하겠다는 방침이다. 기존의 예금·대출 위주의 금융을 뛰어넘어 고객의 생활 속 필요에 맞춘 다양한 서비스를 제공하겠다는 의미다.기업은행 관계자는 ""코로나19 이후 '언택트' 문화가 퍼지는 데 발맞춰 기업의 성장단계, 개인의 생애주기에 맞춘 디지털 지원 체계를 구축하고 있다""며 ""다른 은행과 차별화된 IBK만의 혁신 서비스·상품을 제공해 디지털 금융 시장을 주도해나갈 예정""이라고 밝혔다. 이어 그는 ""디지털 혁신기술을 기반으로 한 핵심 업무의 디지털 전환을 지속적으로 추진하고 핀테크·빅테크와의 제휴를 확대할 것""이라고 전했다.기업은행의 대표적 생활금융 서비스로는 먼저 중소기업 경영 활동 전반을 지원하는 디지털 플랫폼 'BOX'(박스)가 있다. BOX는 스마트폰에 설치해 사용할 수 있는 모바일 애플리케이션(앱)이다. 이 앱에선 정책자금 맞춤 추천, 판로 개척, 생산자 네트워크, 기업 부동산, 채용, 회계, 교육 등 중소기업 고객에 필요한 금융·비금융 서비스를 제공한다. 기업은행 거래 고객이 아니더라도 사용할 수 있다.특히 최근에는 코로나19 피해를 겪은 소상공인이 정부의 대출 지원 정책에 간편하게 접근할 수 있도록 '초저금리 대출 사전 체크' '간편 서류 제출' 등의 기능도 제공하고 있다. 지난해 출시된 이후 올해 4월 말 기준 6만6000개 기업이 서비스에 가입한 것으로 집계됐다. 또 기업 모바일 플랫폼 'i-ONE뱅크(기업)' 앱은 80만개 기업이 가입한 기업은행의 대표 서비스다. 이 앱에서도 실무적인 경영 관련 도움을 받을 수 있고, 대출 약정까지 가능하다. 주요 서비스로는 △빅데이터와 AI 알고리즘을 활용한 '모바일 상권분석 서비스' △모든 은행의 금융 내역·카드매출·세금계산서 등의 정보를 수집해 보여주는 'IBK 알파브리핑' △세무 신고를 도와주는 'IBK 알파세무신고' △소상공인을 위한 초저금리 대출 비대면 약정 등이 있다. 기업뿐 아니라 고객 개인에 대한 맞춤형 서비스도 디지털 기술을 활용해 고도화하고 있다. 지난해 5월 편의성을 개선해 새롭게 선보인 모바일 앱 'i-ONE뱅크'는 공인인증서나 모바일 OTP 같은 번거로운 인증 절차를 없앤 것이 특징이다. 6자리의 숫자 비밀번호만으로 계좌 개설, 이체 등 모든 금융 거래가 가능해졌다. 또 지난해 12월 은행 간 조회·이체 벽을 허문 오픈뱅킹 서비스가 탑재되면서 i-ONE뱅크 앱에서 타행 계좌도 편리하게 관리할 수 있게 됐다. 올해 2월엔 업무 절차를 개선하고 고객 서비스 질을 높이기 위한 '직원용 업무상담 AI 챗봇'이 도입됐다. 기업은행은 앞서 2018년 4월 '금융상담 AI 챗봇'을 최초로 선보이기도 했다.개인·기업 고객에게 합리적인 대출 금리를 적용하고 리스크 관리를 하는 분야에도 디지털 금융이 활용된다. 기업은행은 2018년 5월 'IBK빅데이터 플랫폼'을 구축해 각종 정형·비정형 데이터를 수집하고 분석·활용할 수 있는 인프라를 마련했다. 기업은행은 이 같은 자체적인 기술 고도화뿐 아니라 외부와의 제휴를 통해서도 디지털 생태계를 넓혀가고 있다. 2016년부터 'IBK금융그룹 핀테크 Dream Lab(드림 랩)'을 운영해 핀테크 스타트업 29개 기업을 육성했다.[정주원 기자]▶네이버 메인에서 '매일경제'를 받아보세요▶매부리TV 구독하고 에어팟프로 득템!! ▶뉴스레터 '매콤달콤' 구독[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]매일경제 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.中 사스 영웅 ""중국이 코로나 백신 개발 선두 이미…""경찰차 습격, 백화점 약탈…25개 도시 야간통행금지령 내려채은정 수영복 패션…볼륨감 넘치는 탄력 몸매딸 순직 후 32년만에 나타난 母 거액 피소…왜?'췌장암 4기' 유상철 ""지금은 많이 호전돼""",https://finance.naver.com/item/news_read.nhn?article_id=0004585868&office_id=009&code=024110&page=1&sm=
2, 2020.05.31 14:17,조선비즈,"기업은행, 목소리로 본인 확인하는 서비스 국내 첫 도입","IBK기업은행이 음성으로 본인을 확인하는 서비스(Voice ID)를 다음 달 5일부터 국내 최초로 도입한다고 31일 밝혔다.이 서비스는 개인이 갖고 있는 100가지 이상의 목소리 특징을 모은 정보로 고객을 식별해 상담과 금융거래에 활용하는 기술이다. 일란성 쌍둥이, 형제·자매도 음성으로 구분이 가능하다.기업은행기업은행은 이 서비스를 고객센터에 도입, 고객이 상담원과 통화하며 음성정보를 제공하면 은행은 수집된 정보를 통해 다음 통화부터 15초 이내에 본인 확인을 완료한다.기업은행 관계자는 ""안면 인식이나 지문을 활용한 인증 방식보다 보안성을 강화했다""며 ""비밀번호 입력 등의 절차가 생략돼 인증 시간도 통화 당 평균 11초 이상 단축시켰다""고 설명했다.기업은행은 이 서비스가 언택트 서비스 이용을 어려워하는 고령층 등에게도 실질적인 도움이 될 것이라고 기대했다.[이윤정 기자 fact@chosunbiz.com]	[네이버 메인에서 조선비즈 받아보기]	[조선비즈 바로가기] 	chosunbiz.com 조선비즈 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.줄 잇는 '상장 大魚'… 나도 공모주 청약 해볼까""토스 통해서 카드 만들면 10만원""… 이젠 못 받는다""혜택 짭짤하네""… 공무원 사이에서도 인기인 지역화폐스페이스X, 첫 민간 유인우주선 발사…머스크가 쏘아올린 우주의 꿈""이걸로 반년만에 벤츠 뽑았어요""… 5060 빠진 신종사기",https://finance.naver.com/item/news_read.nhn?article_id=0000531081&office_id=366&code=024110&page=1&sm=
3, 2020.05.31 13:30,서울경제,"""15초 안에 목소리로 본인 확인""···기업은행 음성본인확인 도입","[서울경제] IBK기업은행이 음성으로 본인을 확인하는 서비스(Voice ID)를 오는 5일부터 국내 최초로 도입한다고 31일 밝혔다. 음성 본인 확인은 개인이 갖고 있는 100가지 이상의 목소리 특징을 모은 정보로 고객을 식별해 상담과 금융거래에 활용하는 기술이다. 일란성 쌍둥이, 형제 자매도 음성으로 구분이 가능하다. 기업은행은 이 서비스를 고객센터에 도입해 고객과 상담원이 통화하며 음성정보를 제공하면 은행은 수집된 정보를 바탕으로 다음 통화부터 15초 이내에 본인 확인을 완료한다.  안면 인식이나 지문을 활용한 인증 방식보다 보안이 더 강화됐고 비밀번호 입력 등의 절차가 생략돼 통화 당 평균 11초 이상을 단축시켰다는 게 은행 측 설명이다.기업은행 관계자는 “음성 본인 확인은 언택트 서비스 이용을 어려워하는 고령층 등에게도 실질적인 도움이 될 것이며 앞으로도 기업은행은 디지털 소외계층을 배려한 금융 서비스를 확대할 예정”이라고 말했다. /김지영기자 jikim@sedaily.com[서울경제 바로가기]▶ 네이버 채널에서 '서울경제' 구독해주세요!▶ 세상 모든 것에 대해 던지는 질문, 왜(WHY)?저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지서울경제 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.이해찬과 김종인, '32년 악연' 안고 21대 국회 시작""지필고사와 달라서···"" 온라인 &apos;삼성고시&apos; 응시생들 반응이재명 &apos;검찰저격&apos; 글 본 진중권, ""문X가 아니고?""코로나에 다이어터 두손 들었다? 치킨 등 야식 섭취 &apos;급증&apos;""KBS 女화장실에 불법촬영용 카메라""···경찰, 용의자 추적 중",https://finance.naver.com/item/news_read.nhn?article_id=0003746237&office_id=011&code=024110&page=1&sm=
4, 2020.05.31 13:00,파이낸셜뉴스,기업은행 음성본인확인서비스 국내최초 도입,"[파이낸셜뉴스]  IBK기업은행은 지문, 홍채 등의 생체 인증에서 한 단계 발전된 음성본인확인 서비스를 오는 5일부터 국내 최초로 도입한다고 5월 31일 밝혔다.   음성본인확인은 개인이 갖고 있는 100가지 이상의 목소리 특징을 모은 정보로 고객을 식별해 이를 상담과 금융거래에 활용하는 기술로 일란성 쌍둥이, 형제자매의 음성도 구분 가능하다.   기업은행은 해당 서비스를 고객센터에 도입한다. 고객이 상담원과 통화하며 음성정보를 제공하면, 은행은 수집된 정보를 통해 다음 통화부터 15초 이내에 본인확인을 완료할 수 있다.   특히 철저한 검증 과정을 통해 안면인식이나 지문을 활용한 인증방식보다 보안성을 강화했고, 본인확인을 위한 비밀번호 입력 등의 절차가 생략돼 통화당 평균 11초 이상을 단축시킨 것이 특징이다.   기업은행 관계자는 “음성본인확인은 언택트 서비스 이용을 어려워하는 고령층 등에게도 실질적인 도움이 될 것이며 앞으로도 기업은행은 디지털 소외계층을 배려한 금융 서비스를 확대할 예정”이라고 말했다    aber@fnnews.com 박지영 기자   ▶ 헉! 소리나는 스!토리 뉴스 [헉스]▶ '아는 척'하고 싶은 당신을 위한 [두유노우]  ※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지파이낸셜뉴스 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.이혼한 이동건, 4개월 전 방송서 아내 조윤희에게 ""나는 네가..""진중권 ""이재명 정치생명 끊으려 한 것은 檢이 아니라..""황교익, 뜻밖의 발언 ""문빠 집요-악랄. 주류는..""'간암' 예방에 도움 주는 커피, 매일 1잔 마시면..25년前 삼풍백화점 붕괴사고서 생존한 유명개그맨의 놀라운 사연",https://finance.naver.com/item/news_read.nhn?article_id=0004434232&office_id=014&code=024110&page=1&sm=
5, 2020.05.31 09:45,이데일리,"IBK기업은행, 국내 최초 음성본인확인 서비스 도입","사람마다 다른 목소리 특색을 이용해 15초 이내 본인 인증[이데일리 전선형 기자] IBK기업은행이 국내 최초 음성본인확인(Voice ID) 서비스를 도입했다. IBK기업은행이 국내 최초 음성본인확인(Voice ID) 도입했다.(사진=IBK기업은행 제공)IBK기업은행은 지문, 홍채 등의 생체 인증에서 한 단계 발전된 음성본인확인(Voice ID) 서비스를 오는 5일부터 국내 최초로 도입한다고 31일 밝혔다. 음성본인확인은 개인이 갖고 있는 100가지 이상의 목소리 특징을 모은 정보로 고객을 식별해 이를 상담과 금융거래에 활용하는기술이다. 일란성 쌍둥이, 형제자매의 음성도 구분 가능하다. 기업은행은 이 서비스를 고객센터에 도입한다. 고객이 상담원과 통화하며 음성정보를 제공하면, 은행은 수집된 정보를 통해 다음통화부터 15초 이내에 본인확인을 완료한다. 철저한 검증 과정을 통해 안면인식이나 지문을 활용한 인증방식보다 보안성을 강화했고, 본인확인을 위한 비밀번호 입력 등의절차가 생략돼 통화당 평균 11초 이상을 단축시켰다고 기업은행 측은 전했다. 기업은행 관계자는 “음성본인확인은 언택트 서비스 이용을 어려워하는 고령층 등에게도 실질적인 도움이 될 것이며 앞으로도기업은행은 디지털 소외계층을 배려한 금융 서비스를 확대할 예정”이라고 말했다.전선형 (sunnyjun@edaily.co.kr)네이버에서 ‘이데일리’ 구독하기▶청춘뉘우스~ 스냅타임▶＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞이데일리 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.진중권 ""문빠랑 같이 가야하는 이재명의 사정도 이해한다""로또 913회 1등 16명, 13억씩...'자동' 14명 배출점은?""큰 가슴 때문에…"" 박준형, 갓난아이에 가슴 물린 사연'쿠팡 출입 자제' 내건 아파트…택배 기사는 무슨 죄죠?[온라인 들썩]""韓 선거조작"" 이어 ""문재인 구속""…백악관에 또 황당 청원",https://finance.naver.com/item/news_read.nhn?article_id=0004652644&office_id=018&code=024110&page=1&sm=
6, 2020.05.28 11:13,한국경제,"'기업은행' 5% 이상 상승, 단기·중기 이평선 정배열로 상승세","◆ 차트 분석- 단기·중기 이평선 정배열로 상승세추세선으로 보면 현재 단기·중기 이평선이 정배열 상태로 상승세를 보이고 있다.최근 이 종목의 차트에서 최근 5일 매물대 돌파 등의 특이사항이 발생했다.[그래프]기업은행 차트 분석◆ 기업개요기업은행은 정부기업이 출자한 중소기업 지원 전문은행으로 알려져 있다.한경로보뉴스이 기사는 한국경제신문과 금융 AI 전문기업 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다.▶ 네이버에서 한국경제 뉴스를 받아보세요▶ 한경닷컴 바로가기  ▶ 모바일한경 구독신청 ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지한국경제 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.""전세계가 한국산 찾았는데…"" 발칵 뒤집혔다""문대통령과 김정숙 여사가 투표한…"" 폭로""하루에 한 끼만 먹었더니…"" 놀라운 효과심상치 않은 中…""파멸의 길 가고 있다""[속보] 쿠팡 집단감염에…결국, 등교 중지",https://finance.naver.com/item/news_read.nhn?article_id=0004349214&office_id=015&code=024110&page=1&sm=
7, 2020.05.27 17:46,한국경제,"기업은행, 조직개편…금융소비자보호 부문 강화","기업은행이 소비자 보호를 위해 조직 개편을 단행했다. 상품 선정 절차부터 사후 관리까지 모니터링을 강화하는 게 골자다.기업은행은 기존 소비자브랜드그룹을 금융소비자보호그룹으로 분리했다. 독립성을 부여해 금융소비자 보호 역할을 강화하기 위한 차원이다. 그룹 산하에는 소비자 보호 사전 조치를 위한 ‘금융소비자보호부’와 사후 관리를 위한 ‘금융소비자지원부’를 뒀다. 이들 부서를 통해 △상품 선정 △내부 통제부서 간 합동 점검 △모니터링 △현장 지원 등을 강화할 예정이다.고위험 투자상품 판매 후에는 기초자산 가격이 하락하거나 손실 구간에 진입할 가능성 등 리스크 요인을 정기 모니터링한다는 계획이다. 투자 상품 전문 인력도 양성해 판매 역량을 강화하기로 했다.정소람 기자 ram@hankyung.com▶ 네이버에서 한국경제 뉴스를 받아보세요▶ 한경닷컴 바로가기  ▶ 모바일한경 구독신청 ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지한국경제 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.美 ""이번주 뭔가 한다""…시진핑 ""전투 준비""""사진이 모든 걸 말해준다""…외신도 인정심상치 않은 中…""파멸의 길 가고 있다""G90 갈아탄 이재용…삼성·현대차 드디어'성적 흥분제'로 알았는데, 받아 보니…",https://finance.naver.com/item/news_read.nhn?article_id=0004348721&office_id=015&code=024110&page=1&sm=
8, 2020.05.27 08:35,매일경제,"기업은행, 금융소비자보호 강화 총괄조직 분리 독립","IBK기업은행은 지난 26일 금융소비자보호 전담조직을 확대하고, 상품개발부터 심의, 사후관리 등 모든 과정에서 고객보호기능을 강화하는 프로세스를 마련했다고 27일 밝혔다.기업은행은 기존 소비자브랜드그룹에서 금융소비자보호그룹을 분리하는 조직개편으로 소비자보호총괄책임자(CCO)의 독립성과 금융소비자보호를 강화했다. 그룹 산하에는 소비자 보호 사전 조치를 위한 '금융소비자보호부'와 사후 관리를 위한 '금융소비자지원부'로 분리 운영해 고객 보호 컨트롤타워의 역할을 수행한다. 기업은행은 ▲상품선정 프로세스 강화 ▲내부통제부서 간 합동 점검을 통한 심의 고도화 ▲모니터링 정교화 ▲현장지원 강화 등의 조치들로 소비자보호 프로세스를 강화할 예정이다.또 고위험 투자상품 판매 후 기초자산 하락이나 손실구간 진입, 민원 발생 등의 리스크 요인을 정기 모니터링 하고 투자 상품 전문인력 양성과 판매역량 강화 방안을 마련할 계획이다.윤종원 기업은행장은 ""완전한 판매절차와 합리적인 과정을 통해 고객이 수익을 얻고 이것이 은행의 이익으로 자연스럽게 연결되는 선순환 구조를 정착시키는 것이 이번 개편의 목표""라고 말했다.[류영상 기자 ifyouare@mkinternet.com]▶네이버 메인에서 '매일경제'를 받아보세요▶매부리TV 구독하고 에어팟프로 득템!! ▶뉴스레터 '매콤달콤' 구독[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]매일경제 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.우한연구소장 깜짝 등장 ""코로나유출설 완전 조작""중국 부자들, 코로나19 틈타 사재기한 물건이…'상상초월'가수 이선희, 재혼 14년 만에 올해 초 협의 이혼스쿨존서 9살 덮친 SUV, 피해자 측 ""고의 추돌""이선희, 재혼 14년 만에 파경…이혼 사유는?",https://finance.naver.com/item/news_read.nhn?article_id=0004582989&office_id=009&code=024110&page=1&sm=
9, 2020.05.27 15:34,헤럴드경제,기업은행 이사회 내달로 연기… 디스커버리펀드 보상 논의 미뤄져,"[헤럴드경제=이승환 기자] IBK기업은행이 28일로 예정됐던 이사회를 다음달 11일로 연기했다.기업은행 측은 “일부 안건에 대한 대한 검토가 필요해 이사회를 연기했다”고 27일 설명했다.이사회에서는 디스커버리자산운용의 펀드 투자 피해자에 대한 보상방안 등을 다룰 예정이었던 것으로 전해졌다. 피해자들은 이사회 참관과 발언 기회 보장 등을 요구해왔다.기업은행은 2017~2019년 디스커버리자산운용의 US핀테크글로벌채권펀드와 US부동산선순위채권펀드를 총 6792억원 판매했는데, 미국 운용사가 펀드 자금으로 투자한 채권을 회수하지 못하면서 현재 914억원이 환매 지연된 상태다.기업은행은 내부 태스크포스(TF)를 꾸려 해결 방안을 논의 중이다. 투자금 일부를 투자자에게 선지급하는 방안 등이 검토되고 있다.nice@heraldcorp.com▶[디;콘] 여론조사를 조사하다!▶채널 구독하면 LED마스크, 공기청정기가 내손에 ▶농수축산물 소비캠페인 - Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -헤럴드경제 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.이선희, 재혼 14년 만에 협의 이혼""문재인 구속"" 백악관에 또 나라망신 청원…""한심하고 부끄럽다""하태경 ""文 대통령이 이용수 할머니 보호해야…친문의 '인격살인'은 범죄""길어지는 아파트 이름…""아들집 못 찾아가겠어요""마켓컬리 ""상온 물류센터서 코로나19 확진자 발생…전면 폐쇄""",https://finance.naver.com/item/news_read.nhn?article_id=0001678880&office_id=016&code=024110&page=1&sm=
