,name,code
0,DSR,155660
1,GS,078930
2,GS글로벌,001250
3,HDC현대산업개발,294870
4,LG이노텍,011070
5,LG전자,066570
6,LG헬로비전,037560
7,OCI,010060
8,S&TC,100840
9,S&T모티브,064960
10,SK네트웍스,001740
11,SK이노베이션,096770
12,STX,011810
13,WISCOM,024070
14,YG PLUS,037270
15,갤럭시아에스엠,011420
16,고려아연,010130
17,국보,001140
18,극동유화,014530
19,까뮤이앤씨,013700
20,남양유업,003920
21,대덕전자,353200
22,대영포장,014160
23,대한해운,005880
24,동아쏘시오홀딩스,000640
25,동양,001520
26,두산,000150
27,락앤락,115390
28,마니커,027740
29,메리츠증권,008560
30,모두투어리츠,204210
31,부국증권,001270
32,비케이탑스,030790
33,삼성SDI,006400
34,삼성바이오로직스,207940
35,삼성출판사,068290
36,삼성화재해상보험,000810
37,삼양홀딩스,000070
38,삼영전자공업,005680
39,삼영화학공업,003720
40,상상인증권,001290
41,선도전기,007610
42,선진,136490
43,세방전지,004490
44,세원셀론텍,091090
45,신풍제약,019170
46,신한알파리츠,293940
47,신한지주,055550
48,애경산업,018250
49,에넥스,011090
50,에스원,012750
51,영화금속,012280
52,윌비스,008600
53,유나이티드,033270
54,인지컨트롤스,023800
55,인터지스,129260
56,일성건설,013360
57,일진다이아,081000
58,제일약품,271980
59,제일연마,001560
60,제일파마홀딩스,002620
61,제주항공,089590
62,조흥,002600
63,지역난방공사,071320
64,진도,088790
65,컨버즈,109070
66,코오롱인더,120110
67,키다리스튜디오,020120
68,태경산업,015890
69,태광산업,003240
70,태양금속공업,004100
71,포스코강판,058430
72,포스코케미칼,003670
73,필룩스,033180
74,한국공항,005430
75,한국제지,002300
76,한국종합기술,023350
77,한국철강,104700
78,한국패러랠,168490
79,한라홀딩스,060980
80,한미사이언스,008930
81,한미약품,128940
82,한솔로지스틱스,009180
83,한일철강,002220
84,한일현대시멘트,006390
85,한창제지,009460
86,한화생명,088350
87,한화시스템,272210
88,현대건설,000720
89,현대건설기계,267270
90,현대모비스,012330
91,현대비앤지스틸,004560
92,현대엘리베이터,017800
93,현대중공업지주,267250
94,현대차증권,001500
95,현대홈쇼핑,057050
96,호전실업,111110
97,호텔신라,008770
98,효성중공업,298040
99,CJ프레시웨이,051500
100,EDGC,245620
101,GH신소재,130500
102,GST,083450
103,GS홈쇼핑,028150
104,JW신약,067290
105,KB오토시스,024120
106,KG모빌리언스,046440
107,SK5호스팩,337450
108,SK6호스팩,340350
109,THE E&M,089230
110,TJ미디어,032540
111,YW,051390
112,갤럭시아컴즈,094480
113,경남바이오파마,044480
114,경창산업,024910
115,고려시멘트,198440
116,골프존,215000
117,교보8호스팩,307280
118,국순당,043650
119,그리티,204020
120,나노브릭,286750
121,나스미디어,089600
122,네오티스,085910
123,네이처셀,007390
124,녹십자셀,031390
125,뉴인텍,012340
126,뉴프렉스,085670
127,대봉엘에스,078140
128,대유에이피,290120
129,대주산업,003310
130,대한약품,023910
131,동구바이오제약,006620
132,동방선기,099410
133,디에이피,066900
134,디엔에이링크,127120
135,디엔에프,092070
136,디오,039840
137,디지틀조선,033130
138,디케이앤디,263020
139,라이트론,069540
140,루미마이크로,082800
141,룽투코리아,060240
142,링크제니시스,219420
143,매일홀딩스,005990
144,메디톡스,086900
145,메탈라이프,327260
146,모베이스전자,012860
147,모비스,250060
148,모트렉스,118990
149,미래SCI,028040
150,미스터블루,207760
151,바디텍메드,206640
152,바이넥스,053030
153,브이티지엠피,018290
154,삼보판지,023600
155,삼본전자,111870
156,삼아제약,009300
157,상상인인더스트리,101000
158,상지카일룸,042940
159,서암기계공업,100660
160,성창오토텍,080470
161,세보엠이씨,011560
162,세종메디칼,258830
163,세코닉스,053450
164,셀루메드,049180
165,셀바스헬스케어,208370
166,스페코,013810
167,승일,049830
168,심텍,222800
169,싸이토젠,217330
170,쎄미시스코,136510
171,씨유메디칼,115480
172,씨케이에이치,900120
173,아나패스,123860
174,아바텍,149950
175,아이센스,099190
176,아이씨디,040910
177,아이씨케이,068940
178,아이원스,114810
179,아이즈비전,031310
180,아이티센,124500
181,알리코제약,260660
182,알에프세미,096610
183,알에프텍,061040
184,알테오젠,196170
185,에스아이리소스,065420
186,에스에프씨,112240
187,에스코넥,096630
188,에쎈테크,043340
189,에이루트,096690
190,에이티넘인베스트,021080
191,에코프로비엠,247540
192,엑세스바이오,950130
193,엑시콘,092870
194,엔에스엔,031860
195,엔터메이트,206400
196,엔피케이,048830
197,엠게임,058630
198,엠벤처투자,019590
199,엠씨넥스,097520
200,영화테크,265560
201,오공,045060
202,오픈베이스,049480
203,옵티시스,109080
204,와이지-원,019210
205,우리바이오,082850
